dist	 eta-scaled	Opt	Trust	Greedy	TrustGreedy	 eta-unslaced
10187	0.32	19317	14858	14735	18995	6199
10229	0.322	19317	14847	14735	18992	6225
10271	0.323	19317	14808	14735	18984	6245
10314	0.324	19317	14777	14735	18990	6270
10356	0.325	19317	14786	14735	18970	6292
10399	0.327	19317	14695	14735	18980	6319
10441	0.328	19317	14726	14735	18988	6343
10484	0.329	19317	14687	14735	18996	6365
10526	0.33	19317	14703	14735	18998	6390
10569	0.331	19317	14691	14735	18994	6408
10611	0.333	19317	14680	14735	18977	6433
10653	0.334	19317	14655	14735	18981	6455
10696	0.335	19317	14584	14735	18979	6479
10738	0.336	19317	14528	14735	18954	6503
10781	0.337	19317	14535	14735	18958	6521
10823	0.338	19317	14564	14735	18952	6542
10866	0.339	19317	14486	14735	18979	6561
10908	0.34	19317	14433	14735	18956	6577
10951	0.341	19317	14528	14735	18967	6602
10993	0.343	19317	14478	14735	18970	6626
11035	0.344	19317	14486	14735	18984	6647
11078	0.345	19317	14417	14735	18966	6668
11120	0.346	19317	14355	14735	18921	6688
11163	0.347	19317	14409	14735	18963	6709
11205	0.348	19317	14417	14735	18968	6733
11248	0.349	19317	14293	14735	18930	6752
11290	0.35	19317	14361	14735	18967	6776
11333	0.351	19317	14319	14735	18950	6795
11375	0.353	19317	14356	14735	18969	6821
11417	0.354	19317	14301	14735	18940	6848
11460	0.355	19317	14239	14735	18955	6871
11502	0.356	19317	14233	14735	18926	6895
11545	0.357	19317	14165	14735	18943	6912
11587	0.358	19317	14192	14735	18938	6933
11630	0.359	19317	14203	14735	18944	6948
11672	0.36	19317	14197	14735	18954	6967
11715	0.361	19317	14086	14735	18918	6989
11757	0.362	19317	14093	14735	18943	7011
11799	0.364	19317	14145	14735	18936	7035
11842	0.365	19317	14106	14735	18932	7054
11884	0.366	19317	14024	14735	18928	7076
11927	0.367	19317	14068	14735	18917	7095
11969	0.368	19317	14038	14735	18942	7115
12012	0.369	19317	13958	14735	18915	7141
12054	0.37	19317	13974	14735	18934	7156
12097	0.371	19317	14012	14735	18916	7176
12139	0.372	19317	14032	14735	18922	7195
12182	0.373	19317	13972	14735	18908	7213
12224	0.374	19317	13970	14735	18924	7231
12266	0.375	19317	13895	14735	18930	7254
12309	0.376	19317	13986	14735	18927	7276
12351	0.377	19317	13931	14735	18910	7296
12394	0.378	19317	13849	14735	18912	7315
12436	0.379	19317	13838	14735	18896	7332
12479	0.38	19317	13803	14735	18914	7354
12521	0.381	19317	13858	14735	18899	7375
12564	0.382	19317	13833	14735	18919	7396
12606	0.383	19317	13727	14735	18925	7415
12648	0.384	19317	13735	14735	18878	7432
12691	0.385	19317	13703	14735	18916	7453
12733	0.386	19317	13740	14735	18908	7475
12776	0.388	19317	13642	14735	18902	7501
12818	0.389	19317	13657	14735	18900	7522
12861	0.39	19317	13681	14735	18894	7539
12903	0.391	19317	13767	14735	18904	7557
12946	0.392	19317	13664	14735	18897	7575
12988	0.393	19317	13640	14735	18880	7595
13030	0.394	19317	13589	14735	18865	7615
13073	0.395	19317	13592	14735	18876	7632
13115	0.395	19317	13564	14735	18890	7648
13158	0.396	19317	13551	14735	18875	7665
13200	0.397	19317	13490	14735	18894	7679
13243	0.398	19317	13490	14735	18886	7698
13285	0.399	19317	13490	14735	18885	7716
13328	0.4	19317	13453	14735	18863	7737
