dist	 eta-scaled	Opt	Trust	Greedy	TrustGreedy	 eta-unslaced
4707	0.744	5407	1564	5237	5213	4025
4714	0.745	5407	1572	5237	5201	4031
4720	0.746	5407	1543	5237	5220	4037
4727	0.747	5407	1552	5237	5220	4044
4734	0.749	5407	1532	5237	5215	4050
4740	0.749	5407	1530	5237	5220	4055
4747	0.751	5407	1536	5237	5207	4061
4754	0.751	5407	1499	5237	5217	4066
4760	0.753	5407	1529	5237	5208	4072
4767	0.754	5407	1498	5237	5215	4077
4773	0.755	5407	1511	5237	5210	4083
4780	0.756	5407	1495	5237	5217	4089
4787	0.756	5407	1501	5237	5220	4093
4793	0.758	5407	1497	5237	5214	4099
4800	0.759	5407	1500	5237	5220	4104
4806	0.759	5407	1459	5237	5213	4108
4813	0.76	5407	1488	5237	5209	4114
4820	0.761	5407	1452	5237	5198	4119
4826	0.762	5407	1467	5237	5194	4124
4833	0.764	5407	1445	5237	5214	4131
4839	0.765	5407	1444	5237	5212	4137
4846	0.766	5407	1443	5237	5211	4142
4853	0.766	5407	1445	5237	5211	4146
4859	0.767	5407	1414	5237	5204	4152
4866	0.769	5407	1413	5237	5207	4158
4873	0.77	5407	1426	5237	5204	4165
4879	0.771	5407	1439	5237	5208	4170
4886	0.772	5407	1423	5237	5208	4177
4892	0.773	5407	1409	5237	5200	4183
4899	0.774	5407	1363	5237	5209	4188
4906	0.775	5407	1410	5237	5210	4193
4912	0.776	5407	1398	5237	5205	4198
4919	0.777	5407	1381	5237	5201	4204
4925	0.778	5407	1383	5237	5210	4207
4932	0.779	5407	1387	5237	5205	4213
4939	0.78	5407	1372	5237	5209	4218
4945	0.78	5407	1361	5237	5194	4222
4952	0.781	5407	1361	5237	5184	4227
4959	0.782	5407	1340	5237	5211	4233
4965	0.783	5407	1350	5237	5207	4237
4972	0.784	5407	1366	5237	5197	4243
4978	0.785	5407	1342	5237	5198	4247
4985	0.786	5407	1301	5237	5203	4252
4992	0.787	5407	1330	5237	5196	4257
4998	0.788	5407	1326	5237	5181	4261
5005	0.789	5407	1313	5237	5199	4267
5011	0.79	5407	1322	5237	5193	4273
5018	0.791	5407	1311	5237	5187	4280
5025	0.792	5407	1295	5237	5199	4284
5031	0.792	5407	1266	5237	5186	4287
5038	0.793	5407	1295	5237	5190	4293
5044	0.795	5407	1259	5237	5191	4299
5051	0.796	5407	1294	5237	5198	4305
5058	0.796	5407	1301	5237	5206	4309
5064	0.797	5407	1280	5237	5194	4312
5071	0.798	5407	1264	5237	5195	4317
5078	0.799	5407	1244	5237	5193	4321
5084	0.8	5407	1262	5237	5203	4326
5091	0.8	5407	1253	5237	5193	4331
5097	0.801	5407	1230	5237	5195	4336
5104	0.802	5407	1227	5237	5194	4341
5111	0.803	5407	1225	5237	5200	4345
5117	0.804	5407	1231	5237	5188	4350
5124	0.805	5407	1222	5237	5188	4355
5130	0.806	5407	1219	5237	5206	4359
5137	0.807	5407	1201	5237	5189	4364
5144	0.808	5407	1195	5237	5189	4369
5150	0.808	5407	1173	5237	5200	4373
5157	0.809	5407	1223	5237	5196	4376
5163	0.81	5407	1175	5237	5191	4381
5170	0.811	5407	1175	5237	5195	4386
5177	0.812	5407	1173	5237	5191	4392
5183	0.812	5407	1166	5237	5194	4395
5190	0.813	5407	1172	5237	5191	4400
5197	0.814	5407	1159	5237	5206	4405
5203	0.815	5407	1149	5237	5192	4407
5210	0.816	5407	1148	5237	5190	4413
5216	0.817	5407	1153	5237	5195	4418
5223	0.818	5407	1132	5237	5191	4424
5230	0.819	5407	1146	5237	5193	4431
5236	0.82	5407	1134	5237	5186	4435
5243	0.821	5407	1135	5237	5194	4442
5249	0.822	5407	1109	5237	5185	4446
5256	0.823	5407	1087	5237	5193	4452
5263	0.824	5407	1101	5237	5194	4458
5269	0.825	5407	1093	5237	5182	4464
5276	0.826	5407	1105	5237	5181	4470
5282	0.827	5407	1081	5237	5186	4475
5289	0.828	5407	1089	5237	5188	4482
5296	0.83	5407	1090	5237	5192	4488
5302	0.83	5407	1057	5237	5199	4492
5309	0.831	5407	1067	5237	5193	4497
5316	0.832	5407	1076	5237	5186	4500
5322	0.832	5407	1071	5237	5193	4504
5329	0.833	5407	1039	5237	5198	4509
5335	0.834	5407	1054	5237	5191	4512
5342	0.835	5407	1046	5237	5176	4518
5349	0.836	5407	1066	5237	5197	4522
5355	0.837	5407	1029	5237	5184	4528
5362	0.838	5407	1018	5237	5191	4535
