dist	 eta-scaled	Opt	Trust	Greedy	TrustGreedy	 eta-unslaced
3101	0.507	5407	2880	5237	5284	2742
3107	0.507	5407	2903	5237	5276	2746
3114	0.509	5407	2849	5237	5273	2753
3120	0.51	5407	2820	5237	5268	2759
3127	0.511	5407	2820	5237	5283	2766
3134	0.512	5407	2845	5237	5279	2773
3140	0.513	5407	2867	5237	5278	2778
3147	0.514	5407	2843	5237	5282	2783
3153	0.515	5407	2846	5237	5269	2789
3160	0.516	5407	2862	5237	5280	2795
3167	0.517	5407	2815	5237	5285	2800
3173	0.518	5407	2796	5237	5278	2806
3180	0.519	5407	2825	5237	5272	2811
3186	0.52	5407	2800	5237	5270	2817
3193	0.521	5407	2810	5237	5288	2822
3200	0.523	5407	2789	5237	5280	2829
3206	0.523	5407	2803	5237	5275	2832
3213	0.524	5407	2776	5237	5271	2837
3220	0.525	5407	2772	5237	5263	2842
3226	0.526	5407	2798	5237	5278	2848
3233	0.527	5407	2771	5237	5288	2853
3239	0.528	5407	2798	5237	5273	2858
3246	0.529	5407	2783	5237	5273	2864
3253	0.53	5407	2775	5237	5284	2870
3259	0.531	5407	2761	5237	5272	2874
3266	0.532	5407	2742	5237	5279	2880
3272	0.533	5407	2710	5237	5274	2886
3279	0.534	5407	2735	5237	5260	2892
3286	0.535	5407	2712	5237	5277	2897
3292	0.536	5407	2734	5237	5276	2902
3299	0.537	5407	2731	5237	5281	2907
3306	0.538	5407	2712	5237	5268	2913
3312	0.539	5407	2703	5237	5266	2919
3319	0.541	5407	2686	5237	5267	2926
3325	0.541	5407	2676	5237	5266	2930
3332	0.543	5407	2700	5237	5264	2937
3339	0.543	5407	2688	5237	5269	2941
3345	0.544	5407	2653	5237	5265	2944
3352	0.545	5407	2662	5237	5257	2950
3358	0.546	5407	2670	5237	5282	2954
3365	0.547	5407	2695	5237	5267	2958
3372	0.548	5407	2633	5237	5278	2964
3378	0.549	5407	2621	5237	5256	2969
3385	0.55	5407	2647	5237	5269	2975
3391	0.551	5407	2652	5237	5257	2980
3398	0.552	5407	2643	5237	5257	2986
3405	0.553	5407	2664	5237	5269	2992
3411	0.554	5407	2637	5237	5263	2997
3418	0.555	5407	2590	5237	5263	3004
3425	0.556	5407	2615	5237	5264	3010
3431	0.557	5407	2618	5237	5262	3016
3438	0.558	5407	2614	5237	5266	3021
3444	0.559	5407	2617	5237	5274	3026
3451	0.56	5407	2597	5237	5262	3031
3458	0.561	5407	2584	5237	5268	3037
3464	0.562	5407	2573	5237	5270	3040
3471	0.563	5407	2572	5237	5261	3045
3477	0.563	5407	2582	5237	5272	3049
3484	0.565	5407	2558	5237	5251	3056
3491	0.566	5407	2558	5237	5276	3062
3497	0.567	5407	2538	5237	5255	3068
3504	0.568	5407	2556	5237	5273	3073
3510	0.569	5407	2519	5237	5255	3077
3517	0.57	5407	2526	5237	5253	3084
3524	0.57	5407	2527	5237	5261	3087
3530	0.571	5407	2515	5237	5269	3092
3537	0.572	5407	2523	5237	5266	3095
3544	0.573	5407	2510	5237	5266	3101
3550	0.574	5407	2479	5237	5262	3106
3557	0.575	5407	2500	5237	5253	3113
3563	0.576	5407	2508	5237	5262	3119
3570	0.577	5407	2484	5237	5260	3122
3577	0.577	5407	2504	5237	5256	3125
3583	0.579	5407	2482	5237	5245	3131
3590	0.579	5407	2455	5237	5264	3136
3596	0.58	5407	2472	5237	5258	3141
3603	0.582	5407	2497	5237	5259	3148
3610	0.583	5407	2467	5237	5259	3155
3616	0.584	5407	2473	5237	5271	3159
3623	0.585	5407	2451	5237	5274	3164
3629	0.586	5407	2414	5237	5258	3169
3636	0.587	5407	2457	5237	5251	3176
3643	0.588	5407	2410	5237	5268	3180
3649	0.588	5407	2392	5237	5260	3182
3656	0.589	5407	2438	5237	5252	3187
3663	0.59	5407	2404	5237	5239	3191
3669	0.591	5407	2414	5237	5247	3196
3676	0.592	5407	2392	5237	5255	3202
3682	0.592	5407	2386	5237	5254	3206
3689	0.594	5407	2392	5237	5254	3213
3696	0.595	5407	2366	5237	5256	3218
3702	0.595	5407	2345	5237	5261	3222
3709	0.596	5407	2374	5237	5261	3226
3715	0.597	5407	2345	5237	5262	3232
3722	0.598	5407	2364	5237	5252	3237
3729	0.599	5407	2370	5237	5261	3244
3735	0.601	5407	2345	5237	5244	3250
3742	0.602	5407	2363	5237	5258	3256
3749	0.603	5407	2344	5237	5246	3262
3755	0.604	5407	2334	5237	5252	3266
3762	0.605	5407	2330	5237	5262	3272
3768	0.605	5407	2350	5237	5248	3276
3775	0.606	5407	2329	5237	5245	3280
3782	0.607	5407	2330	5237	5245	3286
3788	0.608	5407	2279	5237	5260	3290
3795	0.609	5407	2315	5237	5254	3296
3801	0.61	5407	2291	5237	5243	3302
3808	0.611	5407	2302	5237	5249	3307
3815	0.611	5407	2286	5237	5244	3308
3821	0.612	5407	2255	5237	5246	3314
3828	0.613	5407	2285	5237	5245	3318
3834	0.614	5407	2296	5237	5247	3324
3841	0.616	5407	2271	5237	5243	3331
3848	0.617	5407	2257	5237	5235	3337
3854	0.618	5407	2269	5237	5266	3342
3861	0.618	5407	2281	5237	5246	3346
3868	0.619	5407	2250	5237	5237	3352
3874	0.62	5407	2267	5237	5238	3356
3881	0.621	5407	2226	5237	5244	3360
3887	0.622	5407	2237	5237	5243	3365
3894	0.623	5407	2236	5237	5244	3370
3901	0.624	5407	2243	5237	5248	3375
3907	0.625	5407	2238	5237	5245	3380
3914	0.626	5407	2205	5237	5241	3386
3920	0.626	5407	2190	5237	5245	3390
3927	0.628	5407	2171	5237	5242	3397
3934	0.628	5407	2198	5237	5243	3401
3940	0.629	5407	2139	5237	5242	3403
3947	0.629	5407	2192	5237	5241	3406
3953	0.63	5407	2166	5237	5232	3411
3960	0.631	5407	2147	5237	5228	3417
3967	0.632	5407	2179	5237	5237	3420
3973	0.633	5407	2148	5237	5240	3423
3980	0.634	5407	2137	5237	5248	3430
3987	0.635	5407	2118	5237	5242	3434
3993	0.636	5407	2136	5237	5238	3439
4000	0.637	5407	2175	5237	5245	3445
4006	0.638	5407	2126	5237	5244	3450
4013	0.639	5407	2147	5237	5247	3457
4020	0.64	5407	2126	5237	5237	3464
4026	0.641	5407	2125	5237	5240	3469
4033	0.642	5407	2113	5237	5235	3476
4039	0.643	5407	2110	5237	5234	3479
4046	0.644	5407	2124	5237	5257	3484
4053	0.645	5407	2137	5237	5236	3489
4059	0.646	5407	2106	5237	5245	3494
4066	0.647	5407	2093	5237	5258	3501
4072	0.648	5407	2080	5237	5229	3505
4079	0.649	5407	2097	5237	5237	3510
4086	0.649	5407	2052	5237	5235	3514
4092	0.651	5407	2071	5237	5233	3520
4099	0.651	5407	2052	5237	5230	3524
4106	0.652	5407	2035	5237	5237	3529
4112	0.653	5407	2048	5237	5229	3534
4119	0.654	5407	2029	5237	5247	3540
4125	0.655	5407	2032	5237	5234	3543
4132	0.656	5407	2038	5237	5239	3550
4139	0.657	5407	2041	5237	5235	3555
4145	0.658	5407	2023	5237	5225	3560
4152	0.659	5407	2031	5237	5226	3567
4158	0.66	5407	2006	5237	5245	3573
4165	0.661	5407	2022	5237	5246	3579
4172	0.662	5407	1990	5237	5233	3584
4178	0.663	5407	1990	5237	5241	3588
4185	0.664	5407	1978	5237	5232	3594
4192	0.665	5407	1979	5237	5236	3600
4198	0.666	5407	1971	5237	5235	3603
4205	0.667	5407	1979	5237	5239	3608
4211	0.668	5407	1960	5237	5247	3613
4218	0.669	5407	1974	5237	5233	3619
4225	0.67	5407	1952	5237	5236	3624
4231	0.671	5407	1983	5237	5227	3630
4238	0.672	5407	1952	5237	5238	3634
4244	0.673	5407	1934	5237	5232	3639
4251	0.673	5407	1919	5237	5232	3644
4258	0.675	5407	1918	5237	5217	3650
4264	0.676	5407	1930	5237	5239	3656
4271	0.677	5407	1916	5237	5232	3663
4277	0.678	5407	1919	5237	5237	3668
4284	0.679	5407	1925	5237	5226	3674
4291	0.68	5407	1893	5237	5228	3681
4297	0.681	5407	1913	5237	5242	3686
4304	0.682	5407	1893	5237	5243	3691
4311	0.683	5407	1901	5237	5234	3696
4317	0.684	5407	1846	5237	5229	3702
4324	0.685	5407	1867	5237	5231	3709
4330	0.686	5407	1864	5237	5234	3714
4337	0.688	5407	1862	5237	5234	3721
4344	0.689	5407	1870	5237	5236	3726
4350	0.689	5407	1838	5237	5241	3730
4357	0.69	5407	1845	5237	5238	3735
4363	0.691	5407	1851	5237	5226	3740
4370	0.692	5407	1835	5237	5232	3746
4377	0.693	5407	1826	5237	5231	3751
4383	0.694	5407	1822	5237	5235	3755
4390	0.695	5407	1841	5237	5238	3762
4396	0.696	5407	1818	5237	5227	3768
4403	0.698	5407	1823	5237	5232	3775
4410	0.699	5407	1800	5237	5251	3780
